word,row,col,page,identifier,is_dir,link,sim_score,accueil,5,5
service,0,3,default8,service@default8,NO,,0.4062520285534097
default86,1,2,default8,default86@default8,DIR,default86,0
default69,0,0,default9,default69@default9,DIR,default69,0
celà,0,3,default9,celà@default9,NO,,0.35362644683285194
copieur,4,4,default9,copieur@default9,NO,,0.299010835094385
a,4,2,default9,a@default9,NO,,0.3280723409846579
message,0,1,default9,message@default9,NO,,0.32555069677242043
default53,3,0,default9,default53@default9,DIR,default53,0
réf,0,4,default9,réf@default9,NO,,0.26165431643414205
bonjour,1,1,default9,bonjour@default9,NO,,0.39548545952621594
ba,1,3,default9,ba@default9,NO,,0.3819790904589295
default95,2,1,default9,default95@default9,DIR,default95,0
minet,1,2,default9,minet@default9,NO,,0.33926365325582675
ouai,2,4,default9,ouai@default9,NO,,0.40711344915755865
default75,3,3,default9,default75@default9,DIR,default75,0
tom,3,2,default9,tom@default9,NO,,0.33953629699065657
zut,0,2,default9,zut@default9,NO,,0.39923373949609786
coucou,4,0,default9,coucou@default9,NO,,0.39008714347939355
in,3,1,default9,in@default9,NO,,0.3044203067110476
fifi,4,1,default9,fifi@default9,NO,,0.3723326314042701
cetera,2,3,default9,cetera@default9,NO,,0.30713148077382013
,1,4,default9,@default9,NO,,0.16000000000000003
fesse,3,4,default9,fesse@default9,NO,,0.33002313354162427
mickey,2,2,default9,mickey@default9,NO,,0.33986302837025717
t,4,3,default9,t@default9,NO,,0.32138962261562554
gardien,1,0,default9,gardien@default9,NO,,0.2865927943130322
salut,2,0,default9,salut@default9,NO,,0.36564985786798854
craie,1,0,default10,craie@default10,NO,,0.40799837118435245
fer,4,3,default10,fer@default10,NO,,0.3934671435345445
default38,0,1,default10,default38@default10,DIR,default38,0
glace,2,4,default10,glace@default10,NO,,0.4388827888432453
désert,4,1,default10,désert@default10,NO,,0.3584066448570937
fond,4,2,default10,fond@default10,NO,,0.41116120387351085
pain,3,3,default10,pain@default10,NO,,0.4214433555558835
default34,2,1,default10,default34@default10,DIR,default34,0
default39,1,1,default10,default39@default10,DIR,default39,0
planche,4,0,default10,planche@default10,NO,,0.38389639099731543
bouteille,0,3,default10,bouteille@default10,NO,,0.4205669931978222
fumée,3,2,default10,fumée@default10,NO,,0.3916017731743
charbon,0,4,default10,charbon@default10,NO,,0.41853267435083863
tasse,0,2,default10,tasse@default10,NO,,0.3788599286503046
pepsi,3,1,default10,pepsi@default10,NO,,0.3349971466062408
poing,3,0,default10,poing@default10,NO,,0.3463423313003906
brioche,2,2,default10,brioche@default10,NO,,0.37523760403027717
dioxyde,3,4,default10,dioxyde@default10,NO,,0.3483400422226801
paille,4,4,default10,paille@default10,NO,,0.42960472426138574
carreau,1,2,default10,carreau@default10,NO,,0.378952180527497
neige,2,0,default10,neige@default10,NO,,0.3955540401328205
lave,2,3,default10,lave@default10,NO,,0.38088627389591057
gazel,1,4,default10,gazel@default10,NO,,0.30885591180766236
chant,0,0,default10,chant@default10,NO,,0.32984659775761727
chêne,1,3,default10,chêne@default10,NO,,0.37309073808390025
default50,4,3,default11,default50@default11,DIR,default50,0
heure,0,1,default11,heure@default11,NO,,0.41214670222867544
âge,4,1,default11,âge@default11,NO,,0.3693339061157269
énergie,1,3,default11,énergie@default11,NO,,0.4114689942942783
époque,3,2,default11,époque@default11,NO,,0.39956385878436007
aventure,3,3,default11,aventure@default11,NO,,0.4052291475856479
poésie,4,0,default11,poésie@default11,NO,,0.35027214216091085
explosion,1,0,default11,explosion@default11,NO,,0.40368061704524405
essence,3,1,default11,essence@default11,NO,,0.38494007411231335
émission,0,0,default11,émission@default11,NO,,0.3757508758849484
soif,2,4,default11,soif@default11,NO,,0.356488533907546
default42,1,2,default11,default42@default11,DIR,default42,0
éruption,0,3,default11,éruption@default11,NO,,0.3699350014029946
hausse,2,2,default11,hausse@default11,NO,,0.3456209527790137
default43,1,4,default11,default43@default11,DIR,default43,0
avion,3,4,default11,avion@default11,NO,,0.35802309224422946
apprentissage,0,2,default11,apprentissage@default11,NO,,0.3580813410186159
préhistoire,1,1,default11,préhistoire@default11,NO,,0.36875392894766956
avance,4,2,default11,avance@default11,NO,,0.3418503849243857
pacifique,0,4,default11,pacifique@default11,NO,,0.3326733635910333
solo,2,3,default11,solo@default11,NO,,0.2876707673057456
ordinateur,2,1,default11,ordinateur@default11,NO,,0.3425357983287184
oxygène,4,4,default11,oxygène@default11,NO,,0.35303016214626515
origine,3,0,default11,origine@default11,NO,,0.39305713699082867
onde,2,0,default11,onde@default11,NO,,0.34649102633595985
default66,1,1,default12,default66@default12,DIR,default66,0
volée,2,2,default12,volée@default12,NO,,0.3948135581959583
default96,4,2,default12,default96@default12,DIR,default96,0
bulle,0,4,default12,bulle@default12,NO,,0.399064105574077
puce,3,4,default12,puce@default12,NO,,0.3719270978106173
sève,3,0,default12,sève@default12,NO,,0.38516043040054293
toupie,4,1,default12,toupie@default12,NO,,0.41619722572632323
ferraille,1,3,default12,ferraille@default12,NO,,0.3755860835750926
oreille,4,3,default12,oreille@default12,NO,,0.3517766225975394
potion,2,0,default12,potion@default12,NO,,0.415184766778798
cachette,2,3,default12,cachette@default12,NO,,0.3969981639500766
fessée,1,4,default12,fessée@default12,NO,,0.3526850925679039
boue,0,2,default12,boue@default12,NO,,0.400332064723824
brouette,1,2,default12,brouette@default12,NO,,0.4208847745275993
soupe,3,1,default12,soupe@default12,NO,,0.41846642261460343
recette,0,0,default12,recette@default12,NO,,0.36611337891282014
graine,0,1,default12,graine@default12,NO,,0.4257167556265342
serpillère,4,4,default12,serpillère@default12,NO,,0.37021652170110597
pyramide,3,2,default12,pyramide@default12,NO,,0.3780565696224607
étincelle,4,0,default12,étincelle@default12,NO,,0.38369310831874304
ombre,1,0,default12,ombre@default12,NO,,0.37367251695231574
