word,row,col,page,identifier
confortable,7,33,accueil,confortable@accueil
jupe,7,34,accueil,jupe@accueil
paquet,7,35,accueil,paquet@accueil
frapper,7,36,accueil,frapper@accueil
coiffe,7,37,accueil,coiffe@accueil
tiroir,7,38,accueil,tiroir@accueil
touiller,7,39,accueil,touiller@accueil
pain,7,40,accueil,pain@accueil
brosser,7,41,accueil,brosser@accueil
coincé,7,42,accueil,coincé@accueil
invincible,8,0,accueil,invincible@accueil
spaghetti,8,1,accueil,spaghetti@accueil
midi,8,2,accueil,midi@accueil
invité,8,3,accueil,invité@accueil
chausson,8,4,accueil,chausson@accueil
selle,8,5,accueil,selle@accueil
date,8,6,accueil,date@accueil
nounours,8,7,accueil,nounours@accueil
amer,8,8,accueil,amer@accueil
lecture,8,9,accueil,lecture@accueil
gauche,8,10,accueil,gauche@accueil
rond,8,11,accueil,rond@accueil
clochette,8,12,accueil,clochette@accueil
poubelle,8,13,accueil,poubelle@accueil
là-dessus,8,14,accueil,là-dessus@accueil
patate,8,15,accueil,patate@accueil
élastique,8,16,accueil,élastique@accueil
pile,8,17,accueil,pile@accueil
poisson,8,18,accueil,poisson@accueil
ensuite,8,19,accueil,ensuite@accueil
été,8,20,accueil,été@accueil
croissant,8,21,accueil,croissant@accueil
c'est-à-dire,8,22,accueil,c'est-à-dire@accueil
feutre,8,23,accueil,feutre@accueil
déposer,8,24,accueil,déposer@accueil
indien,8,25,accueil,indien@accueil
crocodile,8,26,accueil,crocodile@accueil
repeindre,8,27,accueil,repeindre@accueil
coupe,8,28,accueil,coupe@accueil
bêtise,8,29,accueil,bêtise@accueil
asseoir,8,30,accueil,asseoir@accueil
princesse,8,31,accueil,princesse@accueil
pêcher,8,32,accueil,pêcher@accueil
gronda,8,33,accueil,gronda@accueil
oie,8,34,accueil,oie@accueil
hibou,8,35,accueil,hibou@accueil
mécontent,8,36,accueil,mécontent@accueil
cabane,8,37,accueil,cabane@accueil
languette,8,38,accueil,languette@accueil
grimper,8,39,accueil,grimper@accueil
tricoter,8,40,accueil,tricoter@accueil
corde,8,41,accueil,corde@accueil
chapeau,8,42,accueil,chapeau@accueil
arrivée,9,0,accueil,arrivée@accueil
dépasser,9,1,accueil,dépasser@accueil
vrai,9,2,accueil,vrai@accueil
bou,9,3,accueil,bou@accueil
pêche,9,4,accueil,pêche@accueil
âne,9,5,accueil,âne@accueil
sucette,9,6,accueil,sucette@accueil
shérif,9,7,accueil,shérif@accueil
oeil,9,8,accueil,oeil@accueil
racheter,9,9,accueil,racheter@accueil
surveiller,9,10,accueil,surveiller@accueil
crotte,9,11,accueil,crotte@accueil
beaucoup,9,12,accueil,beaucoup@accueil
transpirer,9,13,accueil,transpirer@accueil
abattre,9,14,accueil,abattre@accueil
mesurer,9,15,accueil,mesurer@accueil
tata,9,16,accueil,tata@accueil
bête,9,17,accueil,bête@accueil
monter,9,18,accueil,monter@accueil
aucun,9,19,accueil,aucun@accueil
dessin,9,20,accueil,dessin@accueil
affaire,9,21,accueil,affaire@accueil
disputer,9,22,accueil,disputer@accueil
heure,9,23,accueil,heure@accueil
attaque,9,24,accueil,attaque@accueil
dent,9,25,accueil,dent@accueil
marre,9,26,accueil,marre@accueil
normal,9,27,accueil,normal@accueil
vas-y,9,28,accueil,vas-y@accueil
venger,9,29,accueil,venger@accueil
tablier,9,30,accueil,tablier@accueil
descendre,9,31,accueil,descendre@accueil
mordre,9,32,accueil,mordre@accueil
fleur,9,33,accueil,fleur@accueil
directrice,9,34,accueil,directrice@accueil
tee-shirt,9,35,accueil,tee-shirt@accueil
passage,9,36,accueil,passage@accueil
joli,9,37,accueil,joli@accueil
constructeur,9,38,accueil,constructeur@accueil
cadeau,9,39,accueil,cadeau@accueil
prisonnier,9,40,accueil,prisonnier@accueil
béa,9,41,accueil,béa@accueil
continue,9,42,accueil,continue@accueil
bataille,10,0,accueil,bataille@accueil
colle,10,1,accueil,colle@accueil
texte,10,2,accueil,texte@accueil
plaire,10,3,accueil,plaire@accueil
malle,10,4,accueil,malle@accueil
endormi,10,5,accueil,endormi@accueil
obligation,10,6,accueil,obligation@accueil
octobre,10,7,accueil,octobre@accueil
femme,10,8,accueil,femme@accueil
collier,10,9,accueil,collier@accueil
promener,10,10,accueil,promener@accueil
verser,10,11,accueil,verser@accueil
fond,10,12,accueil,fond@accueil
cassette,10,13,accueil,cassette@accueil
julien,10,14,accueil,julien@accueil
enrouler,10,15,accueil,enrouler@accueil
reparler,10,16,accueil,reparler@accueil
dos,10,17,accueil,dos@accueil
phrase,10,18,accueil,phrase@accueil
quarante-cinq,10,19,accueil,quarante-cinq@accueil
enfant,10,20,accueil,enfant@accueil
vase,10,21,accueil,vase@accueil
boulot,10,22,accueil,boulot@accueil
avancer,10,23,accueil,avancer@accueil
plonger,10,24,accueil,plonger@accueil
risque,10,25,accueil,risque@accueil
chien,10,26,accueil,chien@accueil
patiner,10,27,accueil,patiner@accueil
boue,10,28,accueil,boue@accueil
paille,10,29,accueil,paille@accueil
noeud,10,30,accueil,noeud@accueil
fromage,10,31,accueil,fromage@accueil
solide,10,32,accueil,solide@accueil
loin,10,33,accueil,loin@accueil
lacet,10,34,accueil,lacet@accueil
garance,10,35,accueil,garance@accueil
faillir,10,36,accueil,faillir@accueil
simple,10,37,accueil,simple@accueil
truc,10,38,accueil,truc@accueil
complétement,10,39,accueil,complétement@accueil
détruire,10,40,accueil,détruire@accueil
ombre,10,41,accueil,ombre@accueil
pfff,10,42,accueil,pfff@accueil
aliment,11,0,accueil,aliment@accueil
dédoubler,11,1,accueil,dédoubler@accueil
retraverser,11,2,accueil,retraverser@accueil
adulte,11,3,accueil,adulte@accueil
poche,11,4,accueil,poche@accueil
plat,11,5,accueil,plat@accueil
litre,11,6,accueil,litre@accueil
beige,11,7,accueil,beige@accueil
roi,11,8,accueil,roi@accueil
dodo,11,9,accueil,dodo@accueil
bruit,11,10,accueil,bruit@accueil
camionnette,11,11,accueil,camionnette@accueil
reboucher,11,12,accueil,reboucher@accueil
nager,11,13,accueil,nager@accueil
gentil,11,14,accueil,gentil@accueil
grand,11,15,accueil,grand@accueil
corail,11,16,accueil,corail@accueil
ébouriffer,11,17,accueil,ébouriffer@accueil
redis,11,18,accueil,redis@accueil
armoire,11,19,accueil,armoire@accueil
boulanger,11,20,accueil,boulanger@accueil
permis,11,21,accueil,permis@accueil
muet,11,22,accueil,muet@accueil
nourrir,11,23,accueil,nourrir@accueil
