word,row,col,page,identifier
ouh,18,6,accueil,ouh@accueil
lire,18,7,accueil,lire@accueil
pied,18,8,accueil,pied@accueil
droit,18,9,accueil,droit@accueil
apparement,18,10,accueil,apparement@accueil
briller,18,11,accueil,briller@accueil
poser,18,12,accueil,poser@accueil
commencer,18,13,accueil,commencer@accueil
cadeau,18,14,accueil,cadeau@accueil
dessiner,18,15,accueil,dessiner@accueil
cogner,18,16,accueil,cogner@accueil
midi,18,17,accueil,midi@accueil
tchic,18,18,accueil,tchic@accueil
poursuivre,18,19,accueil,poursuivre@accueil
presque,18,20,accueil,presque@accueil
lever,18,21,accueil,lever@accueil
remettre,18,22,accueil,remettre@accueil
peine,18,23,accueil,peine@accueil
casser,19,0,accueil,casser@accueil
mal,19,1,accueil,mal@accueil
canapé,19,2,accueil,canapé@accueil
tranquille,19,3,accueil,tranquille@accueil
papa,19,4,accueil,papa@accueil
rien,19,5,accueil,rien@accueil
pièce,19,6,accueil,pièce@accueil
badaboum,19,7,accueil,badaboum@accueil
/très,19,8,accueil,/très@accueil
trait,19,9,accueil,trait@accueil
rapidement,19,10,accueil,rapidement@accueil
miette,19,11,accueil,miette@accueil
ordre,19,12,accueil,ordre@accueil
av-,19,13,accueil,av-@accueil
ramener,19,14,accueil,ramener@accueil
continuer,19,15,accueil,continuer@accueil
sûr,19,16,accueil,sûr@accueil
fin,19,17,accueil,fin@accueil
oreiller,19,18,accueil,oreiller@accueil
écrire,19,19,accueil,écrire@accueil
grimpe,19,20,accueil,grimpe@accueil
appétit,19,21,accueil,appétit@accueil
coup,19,22,accueil,coup@accueil
coucher,19,23,accueil,coucher@accueil
cro-,20,0,accueil,cro-@accueil
s-,20,1,accueil,s-@accueil
pose,20,2,accueil,pose@accueil
casse,20,3,accueil,casse@accueil
pas/,20,4,accueil,pas/@accueil
tchoupi/,20,5,accueil,tchoupi/@accueil
utiliser,20,6,accueil,utiliser@accueil
affaire,20,7,accueil,affaire@accueil
recommencer,20,8,accueil,recommencer@accueil
s,20,9,accueil,s@accueil
soir,20,10,accueil,soir@accueil
fromage,20,11,accueil,fromage@accueil
maîtresse,20,12,accueil,maîtresse@accueil
puzzle,20,13,accueil,puzzle@accueil
danse,20,14,accueil,danse@accueil
pleure,20,15,accueil,pleure@accueil
instant,20,16,accueil,instant@accueil
sieste,20,17,accueil,sieste@accueil
carotte,20,18,accueil,carotte@accueil
/ce,20,19,accueil,/ce@accueil
chéri,20,20,accueil,chéri@accueil
ciseau,20,21,accueil,ciseau@accueil
lit,20,22,accueil,lit@accueil
feutre,20,23,accueil,feutre@accueil
non/,21,0,accueil,non/@accueil
ciel,21,1,accueil,ciel@accueil
course,21,2,accueil,course@accueil
babine,21,3,accueil,babine@accueil
ayou-,21,4,accueil,ayou-@accueil
(,21,5,accueil,(@accueil
reraconter,21,6,accueil,reraconter@accueil
manque,21,7,accueil,manque@accueil
pencher,21,8,accueil,pencher@accueil
pilou,21,9,accueil,pilou@accueil
patte,21,10,accueil,patte@accueil
zèbre,21,11,accueil,zèbre@accueil
chaud,21,12,accueil,chaud@accueil
surveiller,21,13,accueil,surveiller@accueil
terminer,21,14,accueil,terminer@accueil
ferme,21,15,accueil,ferme@accueil
pâte,21,16,accueil,pâte@accueil
gronde,21,17,accueil,gronde@accueil
quelqu',21,18,accueil,quelqu'@accueil
couleur,21,19,accueil,couleur@accueil
crocodile,21,20,accueil,crocodile@accueil
v-,21,21,accueil,v-@accueil
i-,21,22,accueil,i-@accueil
eau,21,23,accueil,eau@accueil
redonne,22,0,accueil,redonne@accueil
),22,1,accueil,)@accueil
ouaf,22,2,accueil,ouaf@accueil
aurélie,22,3,accueil,aurélie@accueil
grave,22,4,accueil,grave@accueil
sommeil,22,5,accueil,sommeil@accueil
