word,row,col,page,identifier,is_dir,link,sim_score,Accueil,3,5
différent,0,2,24A - DESCRIPTIONS,différent@24A - DESCRIPTIONS,NO,,0
24E - TAILLE,1,2,24A - DESCRIPTIONS,taille@24A - DESCRIPTIONS,DIR,24E - TAILLE,0
24I - GOÛT,2,2,24A - DESCRIPTIONS,goût@24A - DESCRIPTIONS,DIR,24I - GOÛT,0
24B - DESCRIPTIONS,3,2,24A - DESCRIPTIONS,tourner la page31@24A - DESCRIPTIONS,DIR,24B - DESCRIPTIONS,0
ne... pas / plus,0,0,12A - LIEUX,ne... pas / plus3@12A - LIEUX,NO,,0
maison,1,0,12A - LIEUX,maison@12A - LIEUX,NO,,0
"[ajouter d'autres lieux de vie quotidienne de l'enfant (école, IME, ...)]",2,0,12A - LIEUX,"[ajouter d'autres lieux de vie quotidienne de l'enfant (école, IME, ...)]@12A - LIEUX",NO,,0
aller,0,1,12A - LIEUX,aller2@12A - LIEUX,NO,,0
"conduire, faire un tour",1,1,12A - LIEUX,"conduire, faire un tour@12A - LIEUX",NO,,0
 ,2,1,12A - LIEUX, 43@12A - LIEUX,NO,,0
17A - MAISON ET JARDIN,3,1,12A - LIEUX,quelque part dans la maison@12A - LIEUX,DIR,17A - MAISON ET JARDIN,0
oups,4,1,12A - LIEUX,oups33@12A - LIEUX,NO,,0
dans la voiture,1,2,12A - LIEUX,dans la voiture@12A - LIEUX,NO,,0
12C - MAGASINS,2,2,12A - LIEUX,magasin@12A - LIEUX,DIR,12C - MAGASINS,0
12B - LIEUX,3,2,12A - LIEUX,tourner la page13@12A - LIEUX,DIR,12B - LIEUX,0
"je, moi, mon, le mien",0,0,19A - TRANSPORTS,"je, moi, mon, le mien5@19A - TRANSPORTS",NO,,0
aller,1,0,19A - TRANSPORTS,aller10@19A - TRANSPORTS,NO,,0
voiture,2,0,19A - TRANSPORTS,voiture@19A - TRANSPORTS,NO,,0
39 - PETITES VOITURES,3,0,19A - TRANSPORTS,petites voitures0@19A - TRANSPORTS,DIR,39 - PETITES VOITURES,0
ne... pas / plus,0,1,19A - TRANSPORTS,ne... pas / plus9@19A - TRANSPORTS,NO,,0
conduire,1,1,19A - TRANSPORTS,conduire@19A - TRANSPORTS,NO,,0
bus,2,1,19A - TRANSPORTS,bus@19A - TRANSPORTS,NO,,0
